address,description,dimensions,homeType,price,pricePerSqF,realtor,realtorGroup,url,yearBuilt
8749 Linden Rd Del Valle TX 78617,"One of the most Beautiful Houses in the area within minutes to Austin, Main house has 5 bedrooms, 4.5 baths, Large kitchen with granite counter tops, custom cabinets, stainless steel appliances, marble floors, office, game room, amazing master bedroom, and bathroom.  The 2nd house could be used as an income property or guest house, it has 2 bedrooms 2 bath and private entrance. The workshop was used for a commercial business, has 2 large separate rooms and own bath. New roof 2018!!!","7 beds, 6 full and 2 half baths, 5,153 sq ft, 2.51 acres lot",Single Family Home,540000,$105,,,https://www.realtor.com/realestateandhomes-detail/8749-Linden-Rd_Del-Valle_TX_78617_M72012-19648,2005
Upland Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,253990,$156,,,https://www.realtor.com/realestateandhomes-detail/Upland_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P412662452731,
6808 Plains Crest Dr Del Valle TX 78617,"Beautiful 3 bed 2.5 bath home in great location, spacious family room with vaulted ceilings, kitchen opens to family room, large dining area in kitchen, plenty of counter & cabinet space, beautiful open rails going up staircase, enormous master bedroom & closet, separate tub & shower, over sized 2nd & 3rd bedrooms, covered front & back porch, huge back yard, minutes from Bergstrom International Airport, Circuit of the Americas, Tollway 130 & HWY 71, pride of ownership shows, must see this amazing home","3 beds, 2 full and 1 half baths, 1,422 sq ft, 5,184 sqft lot",Single Family Home,194800,$137,Francis Quiroz,RE/MAX VISION,https://www.realtor.com/realestateandhomes-detail/6808-Plains-Crest-Dr_Del-Valle_TX_78617_M86166-97535,2013
Abby Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,255990,$151,,,https://www.realtor.com/realestateandhomes-detail/Abby_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P412734069129,
12521 La Paz Del Valle TX 78617,"Spacious 1 story home in peaceful & convenient Los Cielos neighborhood. Nearby spots include Barkley Meadows Park, Southeast Metropolitan Park & McKinney Falls State Park. Plus, Circuit of the Americas & Austin360 Amphitheater are less than 3 miles away! Plenty of shopping, including an HEB Plus! grocery store just 9 miles away & Southpark Meadows. Home features 2 living areas divided by large kitchen & dining + large backyard waiting for your green thumb. No neighbor behind. Newer roof & HVAC system.",USD,Single Family Home,185000,$129,Rita Little,Realty Austin,https://www.realtor.com/realestateandhomes-detail/12521-La-Paz_Del-Valle_TX_78617_M84249-06146,2007
11612 Maybach Dr Del Valle TX 78617,"Great little 1 story home. 3 bedrooms, Seq. Master bedroom, Large master bath, walk-in closet. Vaulted ceiling in den with fireplace that opens to kitchen and breakfast area. Kitchen appliances are negotiable. 2 car front entry garage, some updates with tile flooring and painting. Good storage. Seller wants an AS IS SALE. Buyer would be responsible for any repairs after inspections. yard, fast access to airport and highways.","3 beds, 2 full baths, 1,201 sq ft, 7,362 sqft lot",Single Family Home,175000,$146,Chris Beckett,Pine & Beckett Realtors Austin,https://www.realtor.com/realestateandhomes-detail/11612-Maybach-Dr_Del-Valle_TX_78617_M73409-10620,1997
14601 Fm 812 Del Valle TX 78617,"Approximately 99 beautifully-maintained acres within 2 miles of the Circuit of the Americas in the growing FM 812 corridor. A working ranch with main home, cabanas, rental home and mobile home, this property has 1,474 ft of visibility along FM 812. W/in City of Austin 2-Mile ETJ. Maintained pastures, ponds, fenced and cross-fenced for livestock, barns, covered RV parking, stalls, runs and outbuildings. Estate conveying As-Is. Endless possibilities for this impressive property in an excellent location.","4 beds, 3 full baths, 3,290 sq ft, 97.79 acres lot",Farms/Ranches,1800000,$547,Gretchen Lynn Janzow,Realty Austin,https://www.realtor.com/realestateandhomes-detail/14601-Fm-812_Del-Valle_TX_78617_M71031-80626,1950
136 Maldonado Trl Del Valle TX 78617,"Gorgeous, Custom Estate with High End Finishes and Guest Home!!! Main home features 3 bedrooms plus Study PLUS HUGE Bonus room (can be used as 5 bedrooms, etc.) plus 2 baths. Guest home features 1 bedroom Plus bonus room, 1 bath and kitchenette. Backyard is FULLY Fenced! Tons of possibilities, extended family, separate living quarters for older kids, entertaining, or anything you can imagine. Check out the 3D Virtual Matterport Tour and floorplans of the home and also guest home as video tour. Come See!","4 beds, 3 full baths, 3,022 sq ft, 1.01 acres lot",Single Family Home,349900,$116,"Ramon ""Ray"" Quezada",Q Realty Austin,https://www.realtor.com/realestateandhomes-detail/136-Maldonado-Trl_Del-Valle_TX_78617_M76489-79759,2005
7113 Apperson St Del Valle TX 78617,"Perfect starter home or investment property in great condition. Fresh paint, new vinyl wood-look floors, new carpet, granite counters and subway tile backsplash in kitchen. Master suite with walk-in closet and double vanity. MIL floor plan. Fenced yard. Roof replaced 2016. Move-in ready!","3 beds, 2 full baths, 1,325 sq ft, 7,754 sqft lot",Single Family Home,169900,$128,Lisa M. Harrell,"Juice Homes, Llc",https://www.realtor.com/realestateandhomes-detail/7113-Apperson-St_Del-Valle_TX_78617_M73303-27093,1996
Roffe Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,246990,$165,,,https://www.realtor.com/realestateandhomes-detail/Roffe_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P414034055830,
